user, score_1,score_2,score_3,score_4,score_5,score_6,score_7
4deb022db, 7.4,4.3,4.4,7.2,6.8,7.4,6.6
9e8c4bbee, 6.1,7.0,8.1,8.2,7.4,5.5,8.0
358b28407, 4.7,5.2,6.0,4.0,6.1,5.1,6.1
ac2e86848, 8.4,7.9,8.7,8.3,6.7,10.0,7.3
d53792373, 5.7,5.5,4.5,5.1,4.0,1.9,6.4
a4bcaec09, 5.3,5.6,4.3,3.9,4.3,4.8,3.5
08f46bd75, 3.8,3.2,2.8,2.0,4.1,2.2,5.0
ffe33ac60, 3.8,1.2,2.6,1.3,3.4,3.1,2.0
1020770d4, 0.0,1.3,0.6,2.8,1.0,2.8,0.0
7ed24e2fb, 6.4,4.0,4.6,2.9,4.6,4.9,5.7
461d94743, 7.8,7.1,6.7,6.4,7.0,7.1,5.2
8cbd878f4, 5.6,6.3,5.8,5.9,7.5,5.8,4.6
3b17a3070, 4.7,5.4,5.1,5.7,4.2,3.5,5.4
d11a22e70, 1.4,0.3,0.4,0.7,3.3,3.4,1.3
b0f0aaeff, 3.6,4.7,3.7,5.5,5.1,5.0,5.0
4751b37c7, 4.2,4.5,4.1,4.0,1.9,3.2,3.8
95b16fa7b, 0.0,3.6,2.6,3.9,1.5,3.2,3.9
5cf885ca9, 3.7,4.8,4.2,4.5,4.2,2.7,3.9
f8e8b01ad, 5.1,6.1,5.6,6.1,6.7,5.0,5.2
1d19eadcb, 4.0,2.8,3.4,2.7,3.0,2.9,4.6
873eea9dd, 4.7,5.5,5.4,6.1,4.8,6.4,4.0
0b37af754, 4.5,3.6,4.8,6.1,4.8,4.1,4.2
92c504f51, 3.2,3.5,3.2,1.0,3.1,3.1,1.0
3a317074d, 5.0,4.0,4.2,4.1,2.7,3.5,4.4
658a691a4, 6.0,6.5,4.4,6.6,5.0,2.6,5.1
f679995a4, 2.8,1.1,3.6,1.3,1.4,3.2,2.5
04f27b5fd, 5.5,4.4,5.0,3.9,5.7,3.8,3.5
e45fbb1a4, 6.2,7.6,6.6,8.0,7.6,5.7,8.1
779e3f10d, 5.6,5.2,5.9,7.2,5.9,7.8,7.8
f49a3a7b3, 6.2,7.0,7.3,6.8,5.2,6.3,5.8
b0c2345f6, 8.8,7.4,8.4,7.5,7.7,8.8,9.3
b9cf5dbda, 2.6,3.4,2.9,4.3,4.1,4.4,1.7
31bdcbf33, 3.4,5.4,3.3,4.0,4.7,3.5,3.5
4c3728c13, 5.3,7.6,5.5,5.9,5.7,6.1,6.8
a431b3420, 6.2,8.0,5.6,6.4,7.8,4.8,7.9
a08ac7d8a, 9.3,8.3,9.6,6.3,7.4,7.6,7.4
9251d3570, 8.4,8.5,7.0,4.7,7.7,8.0,6.7
77bdae7f4, 3.1,1.2,3.2,3.3,1.6,4.3,4.4
4e024b4c0, 7.7,6.6,5.5,7.0,4.6,5.3,6.5
f59790a6f, 2.6,3.1,4.5,4.0,6.4,3.5,2.7
02eac4964, 3.2,2.5,3.3,3.7,2.4,4.3,3.8
a6384bec3, 6.3,4.8,8.6,4.1,4.7,6.5,5.4
069a1a79b, 7.1,8.5,8.6,8.5,7.6,6.3,10.0
324739d43, 6.3,6.4,4.4,7.1,5.1,5.8,6.6
98e50ff89, 4.6,3.5,4.4,2.3,5.1,5.0,3.8
c530b1300, 2.6,3.8,1.7,3.7,2.9,4.0,4.8
441d3cafc, 4.8,2.4,6.0,3.8,6.2,4.2,4.4
c68213280, 10.0,10.0,9.9,9.6,9.8,10.0,10.0
48dd0408e, 5.0,2.7,5.2,4.6,2.7,4.2,5.0
c9a60fa3b, 4.9,4.0,3.7,3.9,3.7,3.4,5.5
7c252cc36, 0.3,0.8,0.0,1.2,3.0,1.5,2.5
5e68e23fa, 9.6,6.4,8.4,6.3,7.3,8.2,5.6
f0dc3cab8, 6.6,6.8,7.0,7.4,7.3,9.7,6.6
b7c71395b, 7.7,5.3,7.2,5.6,5.8,6.7,5.2
d231cf797, 3.6,2.9,2.8,2.9,3.0,2.3,3.7
5e8f2c8f2, 5.5,6.5,5.6,3.9,3.4,5.1,2.9
13466d1e0, 3.6,5.0,4.1,3.2,7.1,3.7,5.3
789fe9f9f, 7.5,9.3,7.7,9.5,8.8,9.1,7.9
ce7ec9067, 4.1,5.0,4.4,5.2,5.0,3.3,5.3
8df769b90, 6.7,5.7,6.1,6.5,6.8,5.6,7.3
435b53792, 7.2,5.3,7.1,6.6,7.6,7.3,6.0
50e6334eb, 5.0,6.6,5.8,5.6,7.6,4.8,6.8
77c8f27ee, 8.4,10.0,10.0,10.0,10.0,8.9,9.5
4ec539e55, 5.8,6.3,5.7,7.3,4.7,3.7,6.8
589c2946e, 2.9,3.3,3.8,4.0,4.5,4.0,3.1
7a869b4d9, 6.4,9.0,7.9,7.6,5.1,5.5,6.7
2914efb82, 5.0,4.2,4.3,6.1,5.2,5.8,3.2
59b2de5e9, 6.5,6.8,6.1,5.0,6.1,6.7,7.8
6410d2fcc, 0.1,0.6,0.8,1.9,2.4,1.9,1.7
131538b3c, 4.2,7.0,5.8,5.5,4.5,3.8,6.5
c9da48f27, 3.4,3.6,3.9,4.6,5.0,4.3,3.9
0e5703c0a, 5.0,6.7,5.1,5.8,6.2,6.3,5.8
51c4ff36f, 4.4,3.7,4.5,2.6,3.6,5.2,5.3
7ec3adfc1, 6.0,3.6,2.3,4.8,4.5,3.8,4.6
1aa4d336a, 7.0,6.4,6.2,4.4,7.2,6.3,5.7
bf584374c, 5.0,5.6,6.6,6.6,5.5,4.1,8.0
65b75919d, 5.5,7.0,4.4,6.1,6.6,5.7,4.1
32e5046ab, 2.1,0.6,2.8,3.1,1.1,3.8,1.4
019cba515, 5.7,3.6,5.5,5.1,5.6,6.3,3.9
cdf53c681, 5.5,6.5,5.9,5.6,2.7,4.4,6.8
981f74c39, 0.6,2.4,3.4,2.9,2.4,1.5,2.7
98bafe3a8, 4.7,4.6,4.1,4.8,4.9,4.6,4.4
958754f7f, 3.4,3.1,3.2,4.2,2.4,4.7,5.5
ad86b9c14, 0.6,0.5,0.0,1.4,2.3,1.1,0.0
11193266a, 6.2,8.3,6.9,4.8,6.1,7.8,7.3
c68adf582, 2.7,5.0,3.6,5.7,5.5,3.7,5.8
2b9c078df, 3.4,3.1,3.3,1.7,3.1,3.0,4.3
82b8fd84b, 3.8,2.9,2.5,3.2,3.8,4.4,3.7
c3c286a1a, 2.7,3.1,4.8,5.0,2.6,3.1,1.5
f3c14ad07, 6.2,5.1,4.3,5.6,6.7,3.6,6.4
bc94f7707, 5.8,3.5,5.4,3.8,4.3,5.0,5.4
a907db729, 6.7,6.9,6.4,6.4,7.4,5.5,8.6
9eb210735, 5.1,6.3,7.4,5.6,5.0,6.3,9.1
b6ea84fb5, 6.6,5.8,6.7,8.0,7.1,7.1,6.2
061bb088e, 7.7,9.3,8.5,9.2,8.7,9.7,7.7
ed62c5180, 4.4,4.3,5.7,5.2,6.3,6.1,5.1
e9fa79ee0, 6.3,5.2,5.9,3.9,6.5,5.7,4.7
859a13627, 5.5,4.9,5.0,4.5,4.0,7.2,5.4
e0d58317e, 5.3,5.2,5.4,4.1,5.8,5.9,4.5
089781a88, 3.6,3.3,4.7,3.9,2.8,3.7,3.1
